Municipio_residencia,Estado_residencia,Municipio_ocorrencia,Estado_ocorrencia,ano,faixa_etaria,sexo,Cod_CID_10,dcid_capitulo,total_obitos
Inhumas,GO,GoiÃ¢nia,GO,1996.0,80 ANOS E MAIS,FEMININO,I10,IX,1
Inhumas,GO,GoiÃ¢nia,GO,1996.0,80 ANOS E MAIS,FEMININO,I500,IX,1
Inhumas,GO,GoiÃ¢nia,GO,1996.0,80 ANOS E MAIS,FEMININO,G459,VI,1
Inhumas,GO,GoiÃ¢nia,GO,1996.0,80 ANOS E MAIS,MASCULINO,I429,IX,1
Inhumas,GO,GoiÃ¢nia,GO,1996.0,80 ANOS E MAIS,MASCULINO,J449,X,1
Inhumas,GO,GoiÃ¢nia,GO,1996.0,80 ANOS E MAIS,MASCULINO,K829,XI,1
Inhumas,GO,GoiÃ¢nia,GO,1996.0,80 ANOS E MAIS,MASCULINO,K85,XI,1
Inhumas,GO,GoiÃ¢nia,GO,1996.0,NÃƒO INFORMADO,FEMININO,A09,I,1
Inhumas,GO,GoiÃ¢nia,GO,1996.0,NÃƒO INFORMADO,FEMININO,J189,X,1
Inhumas,GO,GoiÃ¢nia,GO,1996.0,NÃƒO INFORMADO,FEMININO,P240,XVI,1
Inhumas,GO,GoiÃ¢nia,GO,1996.0,NÃƒO INFORMADO,FEMININO,P285,XVI,1
Inhumas,GO,GoiÃ¢nia,GO,1996.0,NÃƒO INFORMADO,MASCULINO,P968,XVI,1
Inhumas,GO,Goianira,GO,1996.0,70 A 79 ANOS,MASCULINO,J449,X,1
Inhumas,GO,GuaraÃ­,TO,1996.0,50 A 59 ANOS,MASCULINO,B199,I,1
Inhumas,GO,Inhumas,GO,1996.0,01 A 04 ANOS,MASCULINO,Y349,XX,1
Inhumas,GO,Inhumas,GO,1996.0,10 A 14 ANOS,MASCULINO,Y299,XX,1
Inhumas,GO,Inhumas,GO,1996.0,20 A 29 ANOS,FEMININO,V892,XX,1
Inhumas,GO,Inhumas,GO,1996.0,20 A 29 ANOS,FEMININO,X999,XX,1
Inhumas,GO,Inhumas,GO,1996.0,20 A 29 ANOS,MASCULINO,,,1
Inhumas,GO,Inhumas,GO,1996.0,20 A 29 ANOS,MASCULINO,R98,XVIII,1
Inhumas,GO,Inhumas,GO,1996.0,20 A 29 ANOS,MASCULINO,V093,XX,1
Inhumas,GO,Inhumas,GO,1996.0,20 A 29 ANOS,MASCULINO,X749,XX,1
Inhumas,GO,Inhumas,GO,1996.0,20 A 29 ANOS,MASCULINO,X959,XX,1
Inhumas,GO,Inhumas,GO,1996.0,20 A 29 ANOS,MASCULINO,Y299,XX,1
Inhumas,GO,Inhumas,GO,1996.0,20 A 29 ANOS,MASCULINO,Y349,XX,2
Inhumas,GO,Inhumas,GO,1996.0,30 A 39 ANOS,FEMININO,C539,II,1
Inhumas,GO,Inhumas,GO,1996.0,30 A 39 ANOS,FEMININO,I10,IX,1
Inhumas,GO,Inhumas,GO,1996.0,30 A 39 ANOS,MASCULINO,J984,X,1
Inhumas,GO,Inhumas,GO,1996.0,30 A 39 ANOS,MASCULINO,R98,XVIII,2
Inhumas,GO,Inhumas,GO,1996.0,30 A 39 ANOS,MASCULINO,V892,XX,1
Inhumas,GO,Inhumas,GO,1996.0,30 A 39 ANOS,MASCULINO,X959,XX,1
Inhumas,GO,Inhumas,GO,1996.0,40 A 49 ANOS,FEMININO,B572,I,1
Inhumas,GO,Inhumas,GO,1996.0,40 A 49 ANOS,FEMININO,C349,II,1
Inhumas,GO,Inhumas,GO,1996.0,40 A 49 ANOS,FEMININO,C509,II,1
Inhumas,GO,Inhumas,GO,1996.0,40 A 49 ANOS,FEMININO,E149,IV,1
Inhumas,GO,Inhumas,GO,1996.0,40 A 49 ANOS,FEMININO,I219,IX,1
Inhumas,GO,Inhumas,GO,1996.0,40 A 49 ANOS,FEMININO,J449,X,1
Inhumas,GO,Inhumas,GO,1996.0,40 A 49 ANOS,FEMININO,R98,XVIII,2
Inhumas,GO,Inhumas,GO,1996.0,40 A 49 ANOS,MASCULINO,I219,IX,2
Inhumas,GO,Inhumas,GO,1996.0,40 A 49 ANOS,MASCULINO,R98,XVIII,2
Inhumas,GO,Inhumas,GO,1996.0,40 A 49 ANOS,MASCULINO,V892,XX,1
Inhumas,GO,Inhumas,GO,1996.0,40 A 49 ANOS,MASCULINO,X959,XX,1
Inhumas,GO,Inhumas,GO,1996.0,50 A 59 ANOS,FEMININO,B572,I,1
Inhumas,GO,Inhumas,GO,1996.0,50 A 59 ANOS,FEMININO,C80,II,1
Inhumas,GO,Inhumas,GO,1996.0,50 A 59 ANOS,FEMININO,I219,IX,1
Inhumas,GO,Inhumas,GO,1996.0,50 A 59 ANOS,FEMININO,V892,XX,1
Inhumas,GO,Inhumas,GO,1996.0,50 A 59 ANOS,FEMININO,W879,XX,1
Inhumas,GO,Inhumas,GO,1996.0,50 A 59 ANOS,MASCULINO,A162,I,1
Inhumas,GO,Inhumas,GO,1996.0,50 A 59 ANOS,MASCULINO,B572,I,1
Inhumas,GO,Inhumas,GO,1996.0,50 A 59 ANOS,MASCULINO,C349,II,1
Inhumas,GO,Inhumas,GO,1996.0,50 A 59 ANOS,MASCULINO,E149,IV,1
Inhumas,GO,Inhumas,GO,1996.0,50 A 59 ANOS,MASCULINO,I219,IX,1
Inhumas,GO,Inhumas,GO,1996.0,50 A 59 ANOS,MASCULINO,I500,IX,1
Inhumas,GO,Inhumas,GO,1996.0,50 A 59 ANOS,MASCULINO,G459,VI,1
Inhumas,GO,Inhumas,GO,1996.0,50 A 59 ANOS,MASCULINO,R98,XVIII,5
Inhumas,GO,Inhumas,GO,1996.0,50 A 59 ANOS,MASCULINO,V892,XX,1
Inhumas,GO,Inhumas,GO,1996.0,60 A 69 ANOS,FEMININO,A09,I,1
Inhumas,GO,Inhumas,GO,1996.0,60 A 69 ANOS,FEMININO,I10,IX,1
Inhumas,GO,Inhumas,GO,1996.0,60 A 69 ANOS,FEMININO,I219,IX,1
Inhumas,GO,Inhumas,GO,1996.0,60 A 69 ANOS,FEMININO,J189,X,1
Inhumas,GO,Inhumas,GO,1996.0,60 A 69 ANOS,FEMININO,R98,XVIII,4
Inhumas,GO,Inhumas,GO,1996.0,60 A 69 ANOS,MASCULINO,A419,I,1
Inhumas,GO,Inhumas,GO,1996.0,60 A 69 ANOS,MASCULINO,C786,II,1
Inhumas,GO,Inhumas,GO,1996.0,60 A 69 ANOS,MASCULINO,I219,IX,2
Inhumas,GO,Inhumas,GO,1996.0,60 A 69 ANOS,MASCULINO,I500,IX,1
Inhumas,GO,Inhumas,GO,1996.0,60 A 69 ANOS,MASCULINO,I64,IX,2
Inhumas,GO,Inhumas,GO,1996.0,60 A 69 ANOS,MASCULINO,K269,XI,1
Inhumas,GO,Inhumas,GO,1996.0,60 A 69 ANOS,MASCULINO,R98,XVIII,6
Inhumas,GO,Inhumas,GO,1996.0,60 A 69 ANOS,MASCULINO,Y349,XX,1
Inhumas,GO,Inhumas,GO,1996.0,70 A 79 ANOS,FEMININO,C259,II,1
Inhumas,GO,Inhumas,GO,1996.0,70 A 79 ANOS,FEMININO,C729,II,1
Inhumas,GO,Inhumas,GO,1996.0,70 A 79 ANOS,FEMININO,C762,II,1
Inhumas,GO,Inhumas,GO,1996.0,70 A 79 ANOS,FEMININO,I509,IX,1
Inhumas,GO,Inhumas,GO,1996.0,70 A 79 ANOS,FEMININO,I64,IX,2
Inhumas,GO,Inhumas,GO,1996.0,70 A 79 ANOS,FEMININO,I672,IX,1
Inhumas,GO,Inhumas,GO,1996.0,70 A 79 ANOS,FEMININO,J81,X,1
Inhumas,GO,Inhumas,GO,1996.0,70 A 79 ANOS,FEMININO,R98,XVIII,7
Inhumas,GO,Inhumas,GO,1996.0,70 A 79 ANOS,MASCULINO,B572,I,3
Inhumas,GO,Inhumas,GO,1996.0,70 A 79 ANOS,MASCULINO,C139,II,1
Inhumas,GO,Inhumas,GO,1996.0,70 A 79 ANOS,MASCULINO,C61,II,1
Inhumas,GO,Inhumas,GO,1996.0,70 A 79 ANOS,MASCULINO,C840,II,1
Inhumas,GO,Inhumas,GO,1996.0,70 A 79 ANOS,MASCULINO,I219,IX,2
Inhumas,GO,Inhumas,GO,1996.0,70 A 79 ANOS,MASCULINO,I429,IX,1
Inhumas,GO,Inhumas,GO,1996.0,70 A 79 ANOS,MASCULINO,I500,IX,1
Inhumas,GO,Inhumas,GO,1996.0,70 A 79 ANOS,MASCULINO,I501,IX,1
Inhumas,GO,Inhumas,GO,1996.0,70 A 79 ANOS,MASCULINO,I519,IX,1
Inhumas,GO,Inhumas,GO,1996.0,70 A 79 ANOS,MASCULINO,I64,IX,1
Inhumas,GO,Inhumas,GO,1996.0,70 A 79 ANOS,MASCULINO,J449,X,2
Inhumas,GO,Inhumas,GO,1996.0,70 A 79 ANOS,MASCULINO,K566,XI,1
Inhumas,GO,Inhumas,GO,1996.0,70 A 79 ANOS,MASCULINO,N179,XIV,1
Inhumas,GO,Inhumas,GO,1996.0,70 A 79 ANOS,MASCULINO,R98,XVIII,9
Inhumas,GO,Inhumas,GO,1996.0,80 ANOS E MAIS,FEMININO,C169,II,1
Inhumas,GO,Inhumas,GO,1996.0,80 ANOS E MAIS,FEMININO,C189,II,1
Inhumas,GO,Inhumas,GO,1996.0,80 ANOS E MAIS,FEMININO,C260,II,1
Inhumas,GO,Inhumas,GO,1996.0,80 ANOS E MAIS,FEMININO,I500,IX,1
Inhumas,GO,Inhumas,GO,1996.0,80 ANOS E MAIS,FEMININO,I501,IX,1
Inhumas,GO,Inhumas,GO,1996.0,80 ANOS E MAIS,FEMININO,I509,IX,1
Inhumas,GO,Inhumas,GO,1996.0,80 ANOS E MAIS,FEMININO,I64,IX,2
Inhumas,GO,Inhumas,GO,1996.0,80 ANOS E MAIS,FEMININO,J969,X,1
Inhumas,GO,Inhumas,GO,1996.0,80 ANOS E MAIS,FEMININO,R54,XVIII,1
Inhumas,GO,Inhumas,GO,1996.0,80 ANOS E MAIS,FEMININO,R98,XVIII,4
Inhumas,GO,Inhumas,GO,1996.0,80 ANOS E MAIS,FEMININO,Y339,XX,1
Inhumas,GO,Inhumas,GO,1996.0,80 ANOS E MAIS,FEMININO,Y349,XX,1
Inhumas,GO,Inhumas,GO,1996.0,80 ANOS E MAIS,MASCULINO,A150,I,1
Inhumas,GO,Inhumas,GO,1996.0,80 ANOS E MAIS,MASCULINO,E46,IV,1
Inhumas,GO,Inhumas,GO,1996.0,80 ANOS E MAIS,MASCULINO,I709,IX,1
Inhumas,GO,Inhumas,GO,1996.0,80 ANOS E MAIS,MASCULINO,I739,IX,1
Inhumas,GO,Inhumas,GO,1996.0,80 ANOS E MAIS,MASCULINO,J189,X,2
Inhumas,GO,Inhumas,GO,1996.0,80 ANOS E MAIS,MASCULINO,J439,X,1
Inhumas,GO,Inhumas,GO,1996.0,80 ANOS E MAIS,MASCULINO,J449,X,2
Inhumas,GO,Inhumas,GO,1996.0,80 ANOS E MAIS,MASCULINO,J981,X,1
Inhumas,GO,Inhumas,GO,1996.0,80 ANOS E MAIS,MASCULINO,R98,XVIII,4
Inhumas,GO,Inhumas,GO,1996.0,NÃƒO INFORMADO,FEMININO,P072,XVI,1
Inhumas,GO,Inhumas,GO,1996.0,NÃƒO INFORMADO,FEMININO,P220,XVI,1
Inhumas,GO,Inhumas,GO,1996.0,NÃƒO INFORMADO,FEMININO,R98,XVIII,2
Inhumas,GO,Inhumas,GO,1996.0,NÃƒO INFORMADO,IGNORADO,P073,XVI,1
Inhumas,GO,Inhumas,GO,1996.0,NÃƒO INFORMADO,MASCULINO,A419,I,1
Inhumas,GO,Inhumas,GO,1996.0,NÃƒO INFORMADO,MASCULINO,C169,II,1
Inhumas,GO,Inhumas,GO,1996.0,NÃƒO INFORMADO,MASCULINO,J449,X,1
Inhumas,GO,Inhumas,GO,1996.0,NÃƒO INFORMADO,MASCULINO,R99,XVIII,1
Inhumas,GO,ItauÃ§u,GO,1996.0,20 A 29 ANOS,MASCULINO,V093,XX,1
Inhumas,GO,ItauÃ§u,GO,1996.0,20 A 29 ANOS,MASCULINO,V892,XX,1
Inhumas,GO,UberlÃ¢ndia,MG,1996.0,80 ANOS E MAIS,FEMININO,I500,IX,1
Inhumas,GO,Americano do Brasil,GO,1997.0,50 A 59 ANOS,FEMININO,R98,XVIII,1
Inhumas,GO,Aparecida de GoiÃ¢nia,GO,1997.0,20 A 29 ANOS,MASCULINO,Y199,XX,1
Inhumas,GO,Aparecida de GoiÃ¢nia,GO,1997.0,40 A 49 ANOS,MASCULINO,B573,I,1
Inhumas,GO,Aparecida de GoiÃ¢nia,GO,1997.0,50 A 59 ANOS,FEMININO,I509,IX,1
Inhumas,GO,Aparecida de GoiÃ¢nia,GO,1997.0,60 A 69 ANOS,FEMININO,J439,X,1
Inhumas,GO,Aparecida de GoiÃ¢nia,GO,1997.0,80 ANOS E MAIS,FEMININO,K729,XI,1
Inhumas,GO,Aparecida de GoiÃ¢nia,GO,1997.0,NÃƒO INFORMADO,FEMININO,P220,XVI,2
Inhumas,GO,Aparecida de GoiÃ¢nia,GO,1997.0,NÃƒO INFORMADO,MASCULINO,P369,XVI,1
Inhumas,GO,Barra do GarÃ§as,MT,1997.0,40 A 49 ANOS,MASCULINO,V892,XX,1
Inhumas,GO,Bela Vista de GoiÃ¡s,GO,1997.0,40 A 49 ANOS,FEMININO,R99,XVIII,1
Inhumas,GO,CaturaÃ­,GO,1997.0,20 A 29 ANOS,MASCULINO,V892,XX,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,15 A 19 ANOS,MASCULINO,V892,XX,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,20 A 29 ANOS,MASCULINO,B24,I,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,20 A 29 ANOS,MASCULINO,I38,IX,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,20 A 29 ANOS,MASCULINO,R98,XVIII,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,30 A 39 ANOS,FEMININO,B208,I,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,30 A 39 ANOS,FEMININO,C259,II,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,30 A 39 ANOS,FEMININO,N189,XIV,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,30 A 39 ANOS,MASCULINO,A162,I,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,30 A 39 ANOS,MASCULINO,I500,IX,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,30 A 39 ANOS,MASCULINO,K703,XI,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,30 A 39 ANOS,MASCULINO,Y099,XX,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,40 A 49 ANOS,FEMININO,E149,IV,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,40 A 49 ANOS,FEMININO,I420,IX,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,40 A 49 ANOS,FEMININO,K767,XI,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,40 A 49 ANOS,FEMININO,K920,XI,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,40 A 49 ANOS,MASCULINO,B24,I,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,40 A 49 ANOS,MASCULINO,E141,IV,2
Inhumas,GO,GoiÃ¢nia,GO,1997.0,40 A 49 ANOS,MASCULINO,I619,IX,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,40 A 49 ANOS,MASCULINO,G825,VI,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,40 A 49 ANOS,MASCULINO,K720,XI,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,40 A 49 ANOS,MASCULINO,K746,XI,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,40 A 49 ANOS,MASCULINO,K767,XI,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,40 A 49 ANOS,MASCULINO,X749,XX,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,40 A 49 ANOS,MASCULINO,Y240,XX,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,40 A 49 ANOS,MASCULINO,Y349,XX,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,50 A 59 ANOS,FEMININO,B572,I,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,50 A 59 ANOS,FEMININO,I678,IX,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,50 A 59 ANOS,FEMININO,K804,XI,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,50 A 59 ANOS,MASCULINO,I619,IX,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,50 A 59 ANOS,MASCULINO,I64,IX,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,50 A 59 ANOS,MASCULINO,I678,IX,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,50 A 59 ANOS,MASCULINO,J960,X,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,50 A 59 ANOS,MASCULINO,K566,XI,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,50 A 59 ANOS,MASCULINO,Y339,XX,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,50 A 59 ANOS,MASCULINO,Y349,XX,2
Inhumas,GO,GoiÃ¢nia,GO,1997.0,60 A 69 ANOS,FEMININO,E141,IV,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,60 A 69 ANOS,FEMININO,E149,IV,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,60 A 69 ANOS,FEMININO,I050,IX,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,60 A 69 ANOS,FEMININO,I420,IX,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,60 A 69 ANOS,FEMININO,I64,IX,2
Inhumas,GO,GoiÃ¢nia,GO,1997.0,60 A 69 ANOS,FEMININO,J449,X,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,60 A 69 ANOS,MASCULINO,A419,I,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,60 A 69 ANOS,MASCULINO,C20,II,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,60 A 69 ANOS,MASCULINO,C61,II,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,60 A 69 ANOS,MASCULINO,I219,IX,2
Inhumas,GO,GoiÃ¢nia,GO,1997.0,60 A 69 ANOS,MASCULINO,I422,IX,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,60 A 69 ANOS,MASCULINO,I619,IX,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,60 A 69 ANOS,MASCULINO,I64,IX,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,60 A 69 ANOS,MASCULINO,J189,X,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,70 A 79 ANOS,FEMININO,E149,IV,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,70 A 79 ANOS,FEMININO,I420,IX,2
Inhumas,GO,GoiÃ¢nia,GO,1997.0,70 A 79 ANOS,FEMININO,J180,X,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,70 A 79 ANOS,FEMININO,K264,XI,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,70 A 79 ANOS,MASCULINO,I255,IX,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,70 A 79 ANOS,MASCULINO,I330,IX,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,70 A 79 ANOS,MASCULINO,I509,IX,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,70 A 79 ANOS,MASCULINO,I619,IX,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,70 A 79 ANOS,MASCULINO,I629,IX,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,70 A 79 ANOS,MASCULINO,I64,IX,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,70 A 79 ANOS,MASCULINO,J189,X,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,70 A 79 ANOS,MASCULINO,J439,X,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,80 ANOS E MAIS,FEMININO,I509,IX,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,80 ANOS E MAIS,MASCULINO,I119,IX,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,80 ANOS E MAIS,MASCULINO,I64,IX,2
Inhumas,GO,GoiÃ¢nia,GO,1997.0,80 ANOS E MAIS,MASCULINO,J449,X,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,NÃƒO INFORMADO,FEMININO,P220,XVI,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,NÃƒO INFORMADO,FEMININO,P240,XVI,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,NÃƒO INFORMADO,FEMININO,P369,XVI,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,NÃƒO INFORMADO,MASCULINO,A09,I,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,NÃƒO INFORMADO,MASCULINO,P220,XVI,4
Inhumas,GO,GoiÃ¢nia,GO,1997.0,NÃƒO INFORMADO,MASCULINO,P249,XVI,1
Inhumas,GO,GoiÃ¢nia,GO,1997.0,NÃƒO INFORMADO,MASCULINO,P369,XVI,3
Inhumas,GO,GoiÃ¢nia,GO,1997.0,NÃƒO INFORMADO,MASCULINO,Q249,XVII,2
Inhumas,GO,GoiÃ¢nia,GO,1997.0,NÃƒO INFORMADO,MASCULINO,R99,XVIII,1
Inhumas,GO,Goianira,GO,1997.0,20 A 29 ANOS,MASCULINO,V892,XX,1
Inhumas,GO,GuaraÃ­,TO,1997.0,30 A 39 ANOS,MASCULINO,V892,XX,2
Inhumas,GO,Inhumas,GO,1997.0,01 A 04 ANOS,MASCULINO,I429,IX,1
Inhumas,GO,Inhumas,GO,1997.0,05 A 09 ANOS,FEMININO,V892,XX,2
Inhumas,GO,Inhumas,GO,1997.0,05 A 09 ANOS,MASCULINO,R98,XVIII,1
Inhumas,GO,Inhumas,GO,1997.0,10 A 14 ANOS,MASCULINO,V093,XX,1
Inhumas,GO,Inhumas,GO,1997.0,15 A 19 ANOS,FEMININO,V892,XX,1
Inhumas,GO,Inhumas,GO,1997.0,15 A 19 ANOS,MASCULINO,R98,XVIII,1
Inhumas,GO,Inhumas,GO,1997.0,15 A 19 ANOS,MASCULINO,V892,XX,1
Inhumas,GO,Inhumas,GO,1997.0,15 A 19 ANOS,MASCULINO,X999,XX,1
Inhumas,GO,Inhumas,GO,1997.0,15 A 19 ANOS,MASCULINO,Y219,XX,1
